2022-03-29 17:29:39 status half-installed libldap-2.4-2:amd64 2.4.57+dfsg-3
2022-03-29 17:29:39 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3
2022-03-29 17:29:39 install libnghttp2-14:amd64 <none> 1.43.0-1
2022-03-29 17:29:39 status half-installed libnghttp2-14:amd64 1.43.0-1
2022-03-29 17:29:39 status unpacked libnghttp2-14:amd64 1.43.0-1
2022-03-29 17:29:39 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2022-03-29 17:29:39 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-03-29 17:29:39 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-03-29 17:29:39 install libssh2-1:amd64 <none> 1.9.0-2
2022-03-29 17:29:39 status half-installed libssh2-1:amd64 1.9.0-2
2022-03-29 17:29:39 status unpacked libssh2-1:amd64 1.9.0-2
2022-03-29 17:29:39 install libcurl4:amd64 <none> 7.74.0-1.3+deb11u1
2022-03-29 17:29:39 status half-installed libcurl4:amd64 7.74.0-1.3+deb11u1
2022-03-29 17:29:39 status unpacked libcurl4:amd64 7.74.0-1.3+deb11u1
2022-03-29 17:29:39 install curl:amd64 <none> 7.74.0-1.3+deb11u1
2022-03-29 17:29:39 status half-installed curl:amd64 7.74.0-1.3+deb11u1
2022-03-29 17:29:39 status unpacked curl:amd64 7.74.0-1.3+deb11u1
2022-03-29 17:29:40 startup packages configure
2022-03-29 17:29:40 configure libpsl5:amd64 0.21.0-1.2 <none>
2022-03-29 17:29:40 status unpacked libpsl5:amd64 0.21.0-1.2
2022-03-29 17:29:40 status half-configured libpsl5:amd64 0.21.0-1.2
2022-03-29 17:29:40 status installed libpsl5:amd64 0.21.0-1.2
2022-03-29 17:29:40 configure wget:amd64 1.21-1+deb11u1 <none>
2022-03-29 17:29:40 status unpacked wget:amd64 1.21-1+deb11u1
2022-03-29 17:29:40 status half-configured wget:amd64 1.21-1+deb11u1
2022-03-29 17:29:40 status installed wget:amd64 1.21-1+deb11u1
2022-03-29 17:29:40 configure libbrotli1:amd64 1.0.9-2+b2 <none>
2022-03-29 17:29:40 status unpacked libbrotli1:amd64 1.0.9-2+b2
2022-03-29 17:29:40 status half-configured libbrotli1:amd64 1.0.9-2+b2
2022-03-29 17:29:40 status installed libbrotli1:amd64 1.0.9-2+b2
2022-03-29 17:29:40 configure libnghttp2-14:amd64 1.43.0-1 <none>
2022-03-29 17:29:40 status unpacked libnghttp2-14:amd64 1.43.0-1
2022-03-29 17:29:40 status half-configured libnghttp2-14:amd64 1.43.0-1
2022-03-29 17:29:40 status installed libnghttp2-14:amd64 1.43.0-1
2022-03-29 17:29:40 configure libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2022-03-29 17:29:40 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-03-29 17:29:40 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-03-29 17:29:40 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-03-29 17:29:40 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2022-03-29 17:29:40 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-03-29 17:29:40 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-03-29 17:29:40 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2022-03-29 17:29:40 configure libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2022-03-29 17:29:40 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-03-29 17:29:40 status half-configured libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-03-29 17:29:40 status installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-03-29 17:29:40 configure libssh2-1:amd64 1.9.0-2 <none>
2022-03-29 17:29:40 status unpacked libssh2-1:amd64 1.9.0-2
2022-03-29 17:29:40 status half-configured libssh2-1:amd64 1.9.0-2
2022-03-29 17:29:40 status installed libssh2-1:amd64 1.9.0-2
2022-03-29 17:29:40 configure netbase:all 6.3 <none>
2022-03-29 17:29:40 status unpacked netbase:all 6.3
2022-03-29 17:29:40 status half-configured netbase:all 6.3
2022-03-29 17:29:40 status installed netbase:all 6.3
2022-03-29 17:29:40 configure openssl:amd64 1.1.1n-0+deb11u1 <none>
2022-03-29 17:29:40 status unpacked openssl:amd64 1.1.1n-0+deb11u1
2022-03-29 17:29:40 status half-configured openssl:amd64 1.1.1n-0+deb11u1
2022-03-29 17:29:40 status installed openssl:amd64 1.1.1n-0+deb11u1
2022-03-29 17:29:40 configure libldap-2.4-2:amd64 2.4.57+dfsg-3 <none>
2022-03-29 17:29:40 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3
2022-03-29 17:29:40 status half-configured libldap-2.4-2:amd64 2.4.57+dfsg-3
2022-03-29 17:29:40 status installed libldap-2.4-2:amd64 2.4.57+dfsg-3
2022-03-29 17:29:40 configure ca-certificates:all 20210119 <none>
2022-03-29 17:29:40 status unpacked ca-certificates:all 20210119
2022-03-29 17:29:40 status half-configured ca-certificates:all 20210119
2022-03-29 17:29:40 status installed ca-certificates:all 20210119
2022-03-29 17:29:40 status triggers-pending ca-certificates:all 20210119
2022-03-29 17:29:40 configure libcurl4:amd64 7.74.0-1.3+deb11u1 <none>
2022-03-29 17:29:40 status unpacked libcurl4:amd64 7.74.0-1.3+deb11u1
2022-03-29 17:29:40 status half-configured libcurl4:amd64 7.74.0-1.3+deb11u1
2022-03-29 17:29:40 status installed libcurl4:amd64 7.74.0-1.3+deb11u1
2022-03-29 17:29:40 configure curl:amd64 7.74.0-1.3+deb11u1 <none>
2022-03-29 17:29:40 status unpacked curl:amd64 7.74.0-1.3+deb11u1
2022-03-29 17:29:40 status half-configured curl:amd64 7.74.0-1.3+deb11u1
2022-03-29 17:29:40 status installed curl:amd64 7.74.0-1.3+deb11u1
2022-03-29 17:29:41 trigproc libc-bin:amd64 2.31-13+deb11u3 <none>
2022-03-29 17:29:41 status half-configured libc-bin:amd64 2.31-13+deb11u3
2022-03-29 17:29:41 status installed libc-bin:amd64 2.31-13+deb11u3
